BEST4+ colonocyte	cell_phenotype	CL:4047052
BEST4+ enterocyte	cell_phenotype	CL:4030026
BJ fibroblast	cell_phenotype	CL:1001608
BMCP	cell_phenotype	CL:0002028
BaP	cell_phenotype	CL:0000613
Be cell	cell_phenotype	CL:0000968
Be1 Cell	cell_phenotype	CL:0000943
Be2 cell	cell_phenotype	CL:0000944
Bergmann astrocyte	cell_phenotype	CL:0000644
Bergmann glial cell	cell_phenotype	CL:0000644
Bergmann glial cell of cerebellum	cell_phenotype	CL:0000644
Betz cell	cell_phenotype	CL:0008049
Betz upper motor neuron	cell_phenotype	CL:4023052
Bm1 B cell	cell_phenotype	CL:0000961
Bm1 B lymphocyte	cell_phenotype	CL:0000961
Bm1 B-cell	cell_phenotype	CL:0000961
Bm1 B-lymphocyte	cell_phenotype	CL:0000961
Bm2 B cell	cell_phenotype	CL:0000962
Bm2 B lymphocyte	cell_phenotype	CL:0000962
Bm2 B-cell	cell_phenotype	CL:0000962
Bm2 B-lymphocyte	cell_phenotype	CL:0000962
Bm2' B cell	cell_phenotype	CL:0000964
Bm2' B lymphocyte	cell_phenotype	CL:0000964
Bm2' B-cell	cell_phenotype	CL:0000964
Bm2-prime B cell	cell_phenotype	CL:0000964
Bm2-prime B-lymphocyte	cell_phenotype	CL:0000964
Bm3 B cell	cell_phenotype	CL:0000965
Bm3 B lymphocyte	cell_phenotype	CL:0000965
Bm3 B-cell	cell_phenotype	CL:0000965
Bm3 B-lymphocyte	cell_phenotype	CL:0000965
Bm3-delta B cell	cell_phenotype	CL:0000963
Bm3-delta B lymphocyte	cell_phenotype	CL:0000963
Bm3-delta B-cell	cell_phenotype	CL:0000963
Bm3-delta B-lymphocyte	cell_phenotype	CL:0000963
Bm4 B cell	cell_phenotype	CL:0000966
Bm4 B lymphocyte	cell_phenotype	CL:0000966
Bm4 B-cell	cell_phenotype	CL:0000966
Bm4 B-lymphocyte	cell_phenotype	CL:0000966
Bm5 B cell	cell_phenotype	CL:0000967
Bm5 B lymphocyte	cell_phenotype	CL:0000967
Bm5 B-cell	cell_phenotype	CL:0000967
Bm5 B-lymphocyte	cell_phenotype	CL:0000967
Boettcher cell	cell_phenotype	CL:0002084
Boettcher's cell	cell_phenotype	CL:0002084
Bottcher cell	cell_phenotype	CL:0002084
Bottcher's cell	cell_phenotype	CL:0002084
