CD11b-low, CD103-negative, langerin-negative lymph node dendritic cell	CL:0002511
CD11b-positive dendritic cell	CL:0002465
CD11b-positive, CD27-positive natural killer cell, mouse	CL:0002426
CD11c+CD123- DC	CL:0000782
CD11c-low plasmacytoid dendritic cell	CL:0000989
CD11c-negative plasmacytoid dendritic cell	CL:0000991
CD133-positive hematopoietic stem cell	CL:0001024
CD133-positive prostate epithelial cell	CL:0002339
CD14+ dermal DC	CL:0002526
CD14-low, CD16-positive monocyte	CL:0002396
CD14-positive dermal dendritic cell	CL:0002526
CD14-positive monocyte	CL:0001054
CD14-positive, CD16-low monocyte	CL:0001055
CD14-positive, CD16-negative classical monocyte	CL:0002057
CD14-positive, CD16-positive monocyte	CL:0002397
CD141-positive myeloid dendritic cell	CL:0002394
CD16+ mDC	CL:0002532
CD16+ monocyte	CL:0002397
CD16+CD56+ NK cell	CL:0000939
CD16- monocyte	CL:0002057
CD16-CD56bright NK cell	CL:0000938
CD16-mDC	CL:0002532
CD16-negative monocyte	CL:0002057
CD16-negative, CD56-bright NK cell	CL:0000938
CD16-negative, CD56-bright natural killer cell, human	CL:0000938
CD16-positive myeloid dendritic cell	CL:0002532
CD16-positive, CD56-dim NK cell	CL:0000939
CD16-positive, CD56-dim natural killer cell, human	CL:0000939
CD16-positive, CD56-low NK cell	CL:0000939
CD16-positive, CD56-low natural killer cell	CL:0000939
CD16-positive, CD56-positive NK cell	CL:0000939
CD16-positive, CD56-positive natural killer cell	CL:0000939
CD19+ B cell	CL:0001201
CD19-positive B cell	CL:0001201
CD1a+ dermal DC	CL:0002529
CD1a-LC	CL:0001014
CD1a-positive Langerhans cell	CL:0001014
CD1a-positive dermal dendritic cell	CL:0002529
CD1c-positive myeloid dendritic cell	CL:0002399
CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell	CL:0002037
CD217-positive common lymphocyte precursor	CL:0001025
CD217-positive common lymphocyte progenitor	CL:0001025
CD217-positive common lymphoid precursor	CL:0001025
CD22-positive, CD38-low small pre-B cell	CL:0002053
CD24-negative CD38-negative IgG-negative class switched memory B cell	CL:0002121
CD24-positive CD38-negative IgG-negative class switched memory B cell	CL:0002120
CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell	CL:4030038
CD24-positive, CD4 single-positive semimature thymocyte	CL:0002432
CD24-positive, CD4 single-positive thymocyte	CL:0002432
CD24-positive, CD8 single-positive semimature thymocyte	CL:0002434
CD24-positive, CD8 single-positive thymocyte	CL:0002434
CD25+ mast cell	CL:0011023
CD25+ neoplastic mast cell	CL:0011023
CD25-positive, CD27-positive immature gamma-delta T cell	CL:0002126
CD27-high, CD11b-high natural killer cell, mouse	CL:0002347
CD27-high, CD11b-low natural killer cell, mouse	CL:0002349
CD27-low, CD11b-high natural killer cell, mouse	CL:0002348
CD27-low, CD11b-low immature natural killer cell, mouse	CL:0002345
CD27-negative gamma-delta T cell	CL:0002125
CD27-positive gamma-delta T cell	CL:0002124
CD27-positive, CD38-positive, CD20-negative B cell	CL:0000980
CD303-positive dendritic cell	CL:0000991
CD34-negative, CD117-positive ILC	CL:0001072
CD34-negative, CD117-positive ILCP	CL:0001072
CD34-negative, CD117-positive innate lymphoid cell precusor	CL:0001072
CD34-negative, CD117-positive innate lymphoid cell, human	CL:0001072
CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	CL:0002026
CD34-negative, CD56-positive, CD117-positive ILC	CL:0001073
CD34-negative, CD56-positive, CD117-positive ILCP	CL:0001073
